id,name,type,is_seed
takuto-okuno-t5,takuto-okuno-t5,user,False
niragkadakia,Nirag Kadakia,user,False
neil-n-zhang,Neil Zhang,user,False
Liasay,Liasay,user,False
SandyHer,SandyHer,user,False
damaggu,Markus Marks,user,False
dosoe,Dorian Soergel,user,False
dtsitsokas,dtsitsokas,user,False
Vicbi,Vicky Bikia,user,False
TheChymera,Horea Christian,user,False
jasper-tms,Jasper Phelps,user,False
jonasfbraun,Jonas Braun,user,False
jhamman,Joe Hamman,user,False
alimanfoo,Alistair Miles,user,False
d-v-b,Davis Bennett,user,False
DimitriPapadopoulos,Dimitri Papadopoulos Orfanos,user,False
Doeme,Doeme,user,False
felixsc1,Felix Schlegel,user,False
setina42,setina42,user,False
Jimmy2027,Hendrik_Klug,user,False
plaffitt,Paul Laffitte,user,False
ruhulfbr,Md Ruhul Amin,user,False
regro-cf-autotick-bot,regro-cf-autotick-bot,user,False
phofl,Patrick Hoefler,user,False
fjetter,Florian Jetter,user,False
jburel,jean-marie burel,user,False
EPFL-Center-for-Imaging,EPFL Center for Imaging,org,True
alert-geomaterials,alert-geomaterials,org,False
IBT-FMI,FOS Functional and Molecular Imaging @MIT+ETH+UZH,org,False
imagingofthings,ImagingOfThings,org,False
pyxu-org,Pyxu,org,False
LCAV,Audiovisual Communications Laboratory,org,False
getzincphp,ZincPHP,org,False
LeandbSpace,leanDB,org,False
SleekDB,SleekDB,org,False
hits,hits,org,False
logpy,logpy,org,False
sympy,SymPy,org,False
hydepark,hydepark,org,False
pytoolz,pytoolz,org,False
geopandas,GeoPandas,org,False
blaze,Blaze,org,False
scisprints,scisprints,org,False
dask,dask,org,False
jupyterlab,JupyterLab,org,False
pangeo-data,Pangeo,org,False
coiled,Coiled,org,False
pydy,PyDy,org,False
JuliaControl,JuliaControl,org,False
ibis-project,Ibis Project,org,False
jupyterhub,JupyterHub,org,False
rapidsai,RAPIDS,org,False
numfocus,NumFOCUS,org,False
WIPACrepo,Wisconsin IceCube Particle Astrophysics Center,org,False
cloudpipe,cloudpipe,org,False
madison-python,Madpy,org,False
zarr-developers,Zarr Developers,org,False
dask-contrib,dask-contrib,org,False
pycondor,pycondor,org,False
NVIDIA-NeMo,NVIDIA-NeMo,org,False
NVIDIA,NVIDIA Corporation,org,False
securepollingsystem,Secure Polling System,org,False
piratesf,Pirate SF,org,False
noisebridge,Noisebridge,org,False
datrs,Dat Rust,org,False
EmoryUniversityTheoreticalBiophysics,Emory University Theoretical Biophysics,org,False
knime-ip,KNIME - Image Processing Extension,org,False
ilastik,ilastik,org,False
conda,conda,org,False
DudLab,DudLab,org,False
InsightSoftwareConsortium,Insight Software Consortium,org,False
nanshe-org,nanshe-org,org,False
pyFFTW,pyFFTW,org,False
jupyter,Project Jupyter,org,False
conda-tools,conda-tools,org,False
cupy,CuPy,org,False
aspp-apac,"Advanced Scientific Programming in Python, Asia-Pacific summer school",org,False
data-apis,Consortium for Python Data API Standards,org,False
scientific-python,Scientific Python,org,False
conda-incubator,conda-incubator,org,False
intake,Intake,org,False
pyviz,PyViz,org,False
holoviz,HoloViz,org,False
Element84,Element 84,org,False
stac-utils,stac-utils,org,False
ProjectPythia,Project Pythia,org,False
azavea,Azavea,org,False
conda-forge,conda-forge,org,False
asv-runner,asv-runner,org,False
stactools-packages,stactools packages,org,False
stan-ja,stan-ja,org,False
pydata,Python for Data,org,False
pandas-ml,pandas-ml,org,False
pandas-dev,pandas,org,False
python-streamz,Python Streamz,org,False
fsspec,python filesystem spec,org,False
napari,napari,org,False
TheJacksonLaboratory,The Jackson Laboratory,org,False
German-BioImaging,German-BioImaging,org,False
NFDI4BIOIMAGE,NFDI4BIOIMAGE,org,False
openmicroscopy,Open Microscopy Environment,org,False
idr-contrib,IDR Contributions,org,False
IDR,Image Data Resource,org,False
ome,Open Microscopy Environment,org,False
campaslab,Campas Lab,org,False
EPFL-Center-for-Imaging/napari-imaging-epfl-2023,napari-imaging-epfl-2023,repo,False
EPFL-Center-for-Imaging/napari-label-focus,napari-label-focus,repo,False
EPFL-Center-for-Imaging/napari-cursor-tracker,napari-cursor-tracker,repo,False
EPFL-Center-for-Imaging/napari-melt-pool-tracker,napari-melt-pool-tracker,repo,False
EPFL-Center-for-Imaging/napari-live-histogram,napari-live-histogram,repo,False
EPFL-Center-for-Imaging/napari-z-plotter,napari-z-plotter,repo,False
EPFL-Center-for-Imaging/napari-rembg,napari-rembg,repo,False
EPFL-Center-for-Imaging/napari-remove-objects,napari-remove-objects,repo,False
EPFL-Center-for-Imaging/napari-magic-wand,napari-magic-wand,repo,False
EPFL-Center-for-Imaging/mousetumornet,mousetumornet,repo,False
EPFL-Center-for-Imaging/napari-floodfill,napari-floodfill,repo,False
EPFL-Center-for-Imaging/napari-orientationpy,napari-orientationpy,repo,False
EPFL-Center-for-Imaging/accel-large-image-proc-talk,accel-large-image-proc-talk,repo,False
EPFL-Center-for-Imaging/pyxu-cone-beam,pyxu-cone-beam,repo,False
EPFL-Center-for-Imaging/docker-web-gui,docker-web-gui,repo,False
EPFL-Center-for-Imaging/napari-bee-annotator,napari-bee-annotator,repo,False
EPFL-Center-for-Imaging/single-cell-aligner,single-cell-aligner,repo,False
EPFL-Center-for-Imaging/image-analysis-field-guide,image-analysis-field-guide,repo,False
EPFL-Center-for-Imaging/dask,dask,repo,False
EPFL-Center-for-Imaging/mouselungseg,mouselungseg,repo,False
EPFL-Center-for-Imaging/splinebox,splinebox,repo,False
EPFL-Center-for-Imaging/pyxu-ldct-reader,pyxu-ldct-reader,repo,False
EPFL-Center-for-Imaging/api-py-algos,api-py-algos,repo,False
EPFL-Center-for-Imaging/pyxu-tutorial,pyxu-tutorial,repo,False
EPFL-Center-for-Imaging/basics-GPU-image-proc,basics-GPU-image-proc,repo,False
EPFL-Center-for-Imaging/ImagingLunch_ImagesInPython,ImagingLunch_ImagesInPython,repo,False
EPFL-Center-for-Imaging/ij-plugin-pyalgos,ij-plugin-pyalgos,repo,False
EPFL-Center-for-Imaging/qupath-extension-pyalgos,qupath-extension-pyalgos,repo,False
EPFL-Center-for-Imaging/depalma-napari-omero,depalma-napari-omero,repo,False
EPFL-Center-for-Imaging/Mito_nucleoid_distances,Mito_nucleoid_distances,repo,False
EPFL-Center-for-Imaging/nellie,nellie,repo,False
EPFL-Center-for-Imaging/napari-adaptive-painting,napari-adaptive-painting,repo,False
EPFL-Center-for-Imaging/mousetumortrack,mousetumortrack,repo,False
EPFL-Center-for-Imaging/napari-splinebox,napari-splinebox,repo,False
EPFL-Center-for-Imaging/pyxudeconv,pyxudeconv,repo,False
EPFL-Center-for-Imaging/ImagingLunch_IntroductionToPytorch,ImagingLunch_IntroductionToPytorch,repo,False
EPFL-Center-for-Imaging/ome2glancer,ome2glancer,repo,False
EPFL-Center-for-Imaging/awesome-scientific-image-analysis,awesome-scientific-image-analysis,repo,False
EPFL-Center-for-Imaging/ImagingLunch_nD_Image_Visualization,ImagingLunch_nD_Image_Visualization,repo,False
EPFL-Center-for-Imaging/fiji-binderhub,fiji-binderhub,repo,False
EPFL-Center-for-Imaging/DeconvolutionImagingLunch,DeconvolutionImagingLunch,repo,False
EPFL-Center-for-Imaging/ezomero,ezomero,repo,False
EPFL-Center-for-Imaging/orientationpy-binderhub,orientationpy-binderhub,repo,False
EPFL-Center-for-Imaging/yolo-workshop,yolo-workshop,repo,False
EPFL-Center-for-Imaging/python-setup,python-setup,repo,False
EPFL-Center-for-Imaging/python-intro-images,python-intro-images,repo,False
edwardando/matrix-docker-ansible-deploy,matrix-docker-ansible-deploy,repo,False
edwardando/oauth2-front,oauth2-front,repo,False
edwardando/lightsheet-live-tracking-tool,lightsheet-live-tracking-tool,repo,False
edwardando/Cell-Lineage-EPFL,Cell-Lineage-EPFL,repo,False
edwardando/conda-forge-pinning-feedstock,conda-forge-pinning-feedstock,repo,False
edwardando/pyimreg.github.com,pyimreg.github.com,repo,False
edwardando/staged-recipes,staged-recipes,repo,False
edwardando/SwissBIAS.github.io,SwissBIAS.github.io,repo,False
edwardando/thorlabs_MCM3000,thorlabs_MCM3000,repo,False
MalloryWittwer/2018_EPFL_ExtensionSchool_Capstone,2018_EPFL_ExtensionSchool_Capstone,repo,False
MalloryWittwer/augmented-stacking,augmented-stacking,repo,False
MalloryWittwer/betterpython,betterpython,repo,False
MalloryWittwer/brightest-path-lib,brightest-path-lib,repo,False
MalloryWittwer/CellSeg3d,CellSeg3d,repo,False
MalloryWittwer/CoreyS_Flask,CoreyS_Flask,repo,False
MalloryWittwer/Crowdair,Crowdair,repo,False
MalloryWittwer/composite_mechanics,composite_mechanics,repo,False
MalloryWittwer/dask-tutorial,dask-tutorial,repo,False
MalloryWittwer/dash_drm,dash_drm,repo,False
MalloryWittwer/dlaicourse,dlaicourse,repo,False
MalloryWittwer/dotfiles,dotfiles,repo,False
MalloryWittwer/FeC-phase-diagram,FeC-phase-diagram,repo,False
MalloryWittwer/drm_ml_demo,drm_ml_demo,repo,False
MalloryWittwer/finite-elements-painting,finite-elements-painting,repo,False
MalloryWittwer/FlaskWebProject1,FlaskWebProject1,repo,False
MalloryWittwer/gimie,gimie,repo,False
MalloryWittwer/global_policy_map,global_policy_map,repo,False
MalloryWittwer/global_policy_scrapers,global_policy_scrapers,repo,False
MalloryWittwer/Herbnb,Herbnb,repo,False
MalloryWittwer/interactive-crystallography,interactive-crystallography,repo,False
MalloryWittwer/LRC-MRM_grain_segmentation_demo,LRC-MRM_grain_segmentation_demo,repo,False
MalloryWittwer/LRC_MRM_grain_segmentation_minimalistic,LRC_MRM_grain_segmentation_minimalistic,repo,False
MalloryWittwer/MalloryWittwer,MalloryWittwer,repo,False
MalloryWittwer/MalloryWittwer.github.io,MalloryWittwer.github.io,repo,False
MalloryWittwer/meta,meta,repo,False
MalloryWittwer/microstructure-explorer,microstructure-explorer,repo,False
MalloryWittwer/napari,napari,repo,False
MalloryWittwer/napari-workshop-template,napari-workshop-template,repo,False
MalloryWittwer/napari-omero,napari-omero,repo,False
MalloryWittwer/nnUNet,nnUNet,repo,False
MalloryWittwer/opinion-development-notebook,opinion-development-notebook,repo,False
MalloryWittwer/planetary-calendar,planetary-calendar,repo,False
MalloryWittwer/pydrm_GUI,pydrm_GUI,repo,False
